id,relevance
110004,2.4053176098258358
127561,2.6085830201511766
116789,2.3189027851994037
102836,2.417626680443664
156434,2.5176094251667354
126841,2.417626680443664
163409,2.4867706832163976
128911,2.2790449941175055
124224,2.417626680443664
143714,2.6085830201511766
144683,2.417626680443664
194194,2.6528886099247964
108934,2.3189027851994037
130887,2.2790449941175055
100307,2.6528886099247964
107713,2.5176094251667354
162959,2.417626680443664
125100,2.4039457442026486
191269,2.2937528337870043
110563,2.2277686218919905
118684,2.417626680443664
101442,2.4434867016354205
120682,2.4053176098258358
165485,2.200873175481422
114407,2.417626680443664
126966,2.5176094251667354
197730,2.4434867016354205
100364,2.5176094251667354
106474,2.5176094251667354
184247,2.2705453729302874
121662,2.1535877278157063
205282,2.3224958190013942
100945,2.660754872538016
118819,2.6085830201511766
127598,2.2300295780944044
117058,2.4434867016354205
105306,2.2277686218919905
105353,2.417626680443664
152872,2.5176094251667354
182766,2.2024953628169364
161650,2.660754872538016
132976,2.5176094251667354
105719,2.417626680443664
115929,2.4039457442026486
122991,2.2277686218919905
192769,2.3189027851994037
145140,2.417626680443664
126256,2.660754872538016
108577,2.5176094251667354
151814,2.2168459762240116
139759,2.5176094251667354
130032,2.6085830201511766
175704,2.4053176098258358
105612,2.417626680443664
118704,2.2899736301986717
166696,2.417626680443664
150626,2.6085830201511766
134850,2.2360642497884515
103759,2.6528886099247964
104058,2.6085830201511766
186822,2.2899736301986717
173710,2.2277686218919905
179606,2.3189027851994037
107499,2.4908985548596245
153649,2.6528886099247964
109983,2.2360642497884515
106157,2.2899736301986717
203040,2.164534480768
167639,2.4434867016354205
117693,2.4302724428877096
183821,2.3189027851994037
180585,2.3224958190013942
126604,2.2277686218919905
113218,2.2795508598429595
135412,2.3189027851994037
200636,2.3189027851994037
129172,2.2024953628169364
119178,2.3189027851994037
185546,2.417626680443664
163961,2.5176094251667354
100106,2.2360642497884515
100235,2.6085830201511766
176096,2.4302724428877096
182452,2.2277686218919905
102403,2.336976899200513
106167,2.2277686218919905
151492,2.4434867016354205
102235,2.4946907838118504
103835,2.422644422043206
133667,2.422644422043206
194749,2.5176094251667354
161163,2.1425828206109894
170460,2.3189027851994037
146696,2.6528886099247964
104175,2.307464322590936
134721,2.4039457442026486
135556,2.3189027851994037
156571,2.4053176098258358
110522,2.2360642497884515
169340,2.417626680443664
195675,2.417626680443664
112083,2.417626680443664
117066,2.417626680443664
186051,2.422644422043206
181439,2.4867706832163976
161726,2.3189027851994037
154135,2.417626680443664
126561,2.2795508598429595
159140,2.2360642497884515
127350,2.4434867016354205
107532,2.4434867016354205
126835,2.6085830201511766
